ID,POTS1,POTS2,POTS3,POTS4,POTS5,POTS6,POTS7,POTS8,POTS9,POTS10,POTS11,POTS12,POTS13,POTS14,POTS15,POTS16,POTS17,POTS18,POTS19,POTS20,POTS21,POTS22,POTS23,POTS24
170,3,6,7,7,5,7,4,6,4,4,5,4,4,4,6,5,5,6,7,5,7,7,5,7
171,1,6,6,6,5,7,3,5,3,6,2,6,6,7,6,6,7,6,7,6,6,6,6,6
172,4,2,4,1,7,7,6,7,7,4,4,4,4,4,5,5,7,7,7,7,6,1,4,4
173,2,6,6,6,6,6,4,3,5,5,5,4,,6,6,6,6,4,6,6,6,6,5,6
174,1,7,7,7,6,7,2,6,2,6,2,7,6,6,6,6,6,6,7,6,7,7,7,6
175,4,7,7,7,7,6,2,4,4,7,4,6,5,6,6,6,7,4,6,7,7,7,6,7
176,1,7,7,7,7,7,4,7,3,6,3,6,6,7,7,5,6,5,7,7,7,6,6,6
177,7,7,6,7,6,6,3,6,1,7,1,5,7,7,7,7,7,5,7,7,7,6,5,7
178,1,7,7,7,6,7,6,6,5,6,2,5,4,6,7,7,5,5,7,6,6,7,6,7
179,1,7,7,7,7,7,1,7,1,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7
180,1,4,6,6,6,7,4,6,2,5,2,6,6,7,7,6,3,6,7,6,6,5,4,7
181,1,4,7,6,4,5,5,4,2,5,2,4,4,7,7,7,5,4,6,7,4,6,7,7
182,2,7,7,6,6,6,4,6,1,6,2,6,6,6,7,6,7,6,7,4,6,6,6,5
183,2,6,6,5,6,7,4,6,2,6,2,5,6,7,6,6,5,7,7,5,7,6,6,7
184,6,6,7,6,6,7,6,6,6,7,5,5,6,5,6,6,7,6,7,6,6,6,6,7
185,2,6,7,6,5,5,3,6,1,3,2,2,6,7,6,6,4,5,6,6,6,6,6,6
186,2,7,7,7,7,7,2,6,5,7,4,5,5,6,7,7,6,6,7,7,7,7,6,7
187,2,6,5,7,4,5,,4,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
188,1,7,7,5,6,7,1,6,1,6,2,7,5,7,7,7,7,7,7,7,7,7,7,7
189,3,6,7,7,6,7,5,6,3,6,4,6,7,7,6,5,7,5,6,6,6,6,6,7
190,2,7,7,7,6,7,3,6,1,3,2,4,6,6,7,7,5,3,7,7,5,7,7,7
191,2,5,7,6,5,6,4,4,5,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6
192,2,4,7,7,6,6,5,6,2,5,3,6,5,6,6,6,5,6,6,5,7,7,5,6
193,5,5,5,7,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5
194,2,5,6,6,6,6,5,6,3,6,3,5,4,5,6,6,3,6,5,5,5,5,4,6
195,2,6,7,7,6,7,5,6,1,7,2,4,6,6,7,6,6,5,6,6,6,5,7,7
196,2,6,7,6,6,7,6,6,2,6,4,5,6,6,7,6,5,5,7,6,6,6,6,6
197,3,5,6,6,6,6,7,6,3,6,3,6,4,7,7,7,6,5,7,7,6,7,6,7
198,2,6,6,6,5,6,2,5,4,6,2,6,6,6,6,4,5,4,6,6,6,5,5,6
199,2,6,6,7,4,6,4,4,1,6,4,6,4,7,7,6,6,4,7,7,5,7,6,7
200,1,4,6,6,5,6,3,5,2,4,3,4,4,6,7,7,4,5,6,6,6,7,6,7
201,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
202,1,7,7,6,6,6,1,5,2,4,3,6,6,7,7,7,7,5,5,6,6,6,6,6
203,2,6,7,6,5,6,3,4,4,5,4,5,3,6,6,6,3,4,4,5,5,4,6,6
204,1,6,7,7,6,7,2,6,2,6,4,6,5,7,7,5,5,6,7,4,5,6,5,6
205,1,5,5,5,6,6,2,5,2,6,2,6,6,6,6,6,7,5,6,5,6,5,6,6
206,1,7,7,7,7,7,2,6,2,6,2,7,7,7,7,6,7,7,7,7,7,7,6,6
207,1,7,7,7,6,6,2,6,1,7,2,7,7,7,7,7,7,5,7,7,6,7,7,7
208,1,7,7,7,6,6,4,6,2,6,2,6,6,7,7,6,6,5,6,7,6,6,6,7
209,2,3,7,7,6,7,3,6,5,7,4,6,6,7,7,7,6,7,7,6,5,6,5,7
210,7,7,7,6,6,6,4,6,3,4,3,6,6,7,7,6,5,5,7,6,6,6,6,6
211,1,7,7,7,7,7,2,7,1,7,2,7,7,7,7,7,7,7,7,7,7,7,5,7
212,1,7,7,7,5,6,4,6,2,3,2,7,6,7,6,6,4,5,6,6,7,7,7,7
213,2,6,6,6,5,6,4,5,3,6,2,6,6,7,6,6,5,5,5,6,6,5,5,6
214,2,6,7,6,5,7,5,6,4,6,3,5,6,7,7,5,7,4,6,5,4,6,6,6
215,2,6,6,4,4,5,4,5,2,5,2,6,5,6,7,7,6,4,7,7,5,6,7,7
216,2,6,6,6,6,6,4,6,6,6,2,4,5,6,6,6,6,6,6,6,6,6,5,6
217,1,7,7,7,7,7,5,7,1,7,1,7,5,7,7,7,7,7,7,7,7,7,7,7
218,3,6,7,6,6,7,5,6,4,7,2,6,7,7,7,7,6,6,6,6,6,6,6,4
219,1,7,7,7,6,7,1,6,1,7,1,7,6,7,7,7,7,7,7,7,7,7,7,7
220,1,4,7,7,6,7,3,6,2,6,2,6,7,7,7,7,7,5,7,7,6,7,5,7
221,2,5,6,4,4,6,6,4,3,6,4,4,3,6,6,4,4,4,7,6,6,4,7,7
222,1,7,7,7,6,7,5,7,1,5,1,7,4,7,7,7,6,6,7,7,7,7,7,7
223,7,6,7,7,6,7,2,6,3,4,3,7,7,7,6,6,4,6,7,7,7,7,5,7
224,1,7,7,7,6,7,2,5,3,7,1,5,7,7,7,5,7,4,6,5,5,7,7,7
225,1,6,7,6,4,7,3,6,1,7,4,6,4,6,7,6,5,6,7,7,6,6,7,7
226,1,7,7,7,7,7,3,6,2,7,2,7,7,7,7,7,7,5,7,7,7,7,7,7
227,1,6,7,7,6,6,2,6,1,7,1,6,7,7,7,7,6,6,7,7,6,7,6,7
228,1,5,7,7,5,6,1,6,1,6,1,7,5,7,7,6,7,5,7,7,5,7,6,7
229,1,6,7,7,5,7,2,5,4,6,2,5,6,7,6,5,4,5,6,6,7,7,5,7
230,2,4,6,4,5,6,3,6,1,4,1,7,6,6,7,7,5,6,6,7,7,6,6,6
231,2,7,7,7,6,7,5,5,1,7,1,6,5,5,7,7,2,4,7,5,5,7,4,4
232,1,5,6,7,5,6,4,5,3,6,3,6,5,7,5,6,5,5,6,4,5,6,5,6
233,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
234,1,6,7,6,6,7,2,6,2,4,4,6,4,7,7,4,6,6,6,6,6,4,6,7
235,6,6,7,6,6,6,4,6,3,4,2,6,5,7,6,7,6,6,7,7,6,7,6,7
236,2,5,6,6,6,5,3,5,3,5,4,5,5,6,6,5,5,5,5,4,5,6,7,6
237,1,7,7,7,6,7,1,4,1,7,1,7,6,6,7,4,7,7,7,6,6,6,5,6
238,2,6,6,5,5,7,4,5,1,6,3,5,3,6,7,5,4,4,5,6,5,5,5,5
239,2,5,6,5,6,6,3,6,5,6,3,6,5,6,6,4,5,5,5,6,6,4,5,5
240,6,7,7,6,6,4,5,4,2,6,4,4,4,5,5,4,5,3,6,5,6,5,4,2
241,1,6,7,7,6,6,2,4,2,7,2,6,7,7,7,7,5,6,7,7,7,7,6,6
242,1,5,7,6,4,6,2,6,3,4,4,5,6,5,7,7,4,4,4,5,5,7,4,6
243,1,6,7,7,5,6,2,5,1,6,4,5,6,7,7,7,6,4,6,6,5,7,5,7
244,1,6,7,7,6,7,1,4,2,6,1,5,6,7,6,6,6,6,6,7,7,7,7,6
245,6,4,7,6,3,5,4,4,2,6,4,4,4,5,5,6,5,3,4,5,4,7,6,7
246,4,7,7,7,3,6,,5,7,6,3,3,1,4,5,6,5,1,6,5,1,7,6,7
247,1,2,7,7,4,7,2,4,2,6,2,7,5,7,7,7,4,4,7,7,6,7,7,7
248,3,4,6,7,2,5,4,4,2,7,3,4,4,5,4,5,2,2,7,4,6,7,4,7
249,5,7,6,7,6,7,,6,3,7,3,7,6,4,6,7,3,2,4,4,2,7,4,7
250,4,4,4,3,3,2,4,4,4,5,6,4,1,4,4,4,4,3,3,4,4,5,4,5
251,7,7,5,6,6,7,7,6,7,6,5,1,3,6,7,7,7,5,6,6,7,7,7,5
252,5,5,6,7,5,7,5,6,5,7,6,5,6,5,6,5,7,4,5,6,6,7,5,7
253,2,4,6,7,6,6,2,4,2,6,2,6,4,6,6,6,6,4,6,6,4,6,6,6
254,4,4,4,4,2,4,4,3,3,6,4,6,4,4,6,5,3,4,4,4,4,4,4,4
255,3,6,6,5,6,6,4,5,3,6,3,5,5,5,6,6,5,5,6,6,5,5,5,6
256,5,6,6,6,4,7,6,6,6,6,6,4,2,1,6,4,4,4,4,4,3,4,1,1
257,4,5,7,7,4,6,4,6,3,6,4,5,4,5,5,5,7,7,7,6,6,7,6,7
258,5,7,6,6,5,7,7,7,1,5,5,5,3,5,6,6,4,5,7,5,7,5,5,7
259,1,4,7,5,4,7,4,4,2,5,2,6,6,7,7,6,4,4,6,7,6,7,7,7
260,4,6,7,6,4,6,6,4,3,4,4,5,5,5,6,6,5,6,6,6,5,6,5,6
261,2,5,6,5,4,5,5,4,4,5,4,4,4,4,6,6,5,3,6,4,7,4,6,6
262,2,7,7,6,5,6,4,6,2,6,2,6,5,6,7,7,7,4,7,6,7,7,6,7
263,3,5,4,4,4,4,3,4,4,3,4,3,4,3,4,3,3,3,3,3,4,4,4,4
264,4,4,6,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,4,4,3,4,4,3
265,3,7,7,7,6,4,4,4,4,6,4,4,4,4,6,6,6,4,4,6,4,7,4,4
266,2,6,7,7,7,7,2,6,6,6,2,6,6,6,7,7,6,6,6,7,7,6,6,6
267,4,7,7,4,3,5,4,3,4,4,5,4,3,4,5,5,3,4,4,4,4,4,5,6
268,6,7,7,6,6,7,6,6,7,4,2,6,4,7,7,7,6,6,7,7,7,6,7,7
269,6,5,7,5,6,6,4,5,2,6,2,6,5,7,6,7,6,4,5,4,3,5,4,6
270,4,5,4,6,4,2,4,4,2,4,4,3,4,4,3,4,6,4,4,4,5,4,4,4
271,2,5,6,4,4,5,2,5,2,5,6,4,4,5,5,5,6,6,6,3,5,5,4,7
272,2,6,3,4,5,6,4,4,4,5,5,4,3,4,5,4,3,4,5,4,4,5,4,5
273,6,6,7,7,6,6,3,4,2,6,4,4,5,5,4,4,4,4,6,4,5,5,4,2
